Phase,Week,Date,Platform,Content Type,Post / Idea
PHASE 1: THE ORIGIN,Week 1,Feb 22,Twitter/X,Text,"I spent months building an AI-powered calorie tracking app. Today I'm sharing the journey publicly. Every win, every failure, every $0 revenue update. Day 1. #buildinpublic"
PHASE 1: THE ORIGIN,Week 1,Feb 23,Twitter/X,Text,"I tried MyFitnessPal, Lose It, Cronometer, and FatSecret. None of them could understand 'one plate chicken machboos with raita.' So I built my own. Meet TrackKcal."
PHASE 1: THE ORIGIN,Week 1,Feb 24,Twitter/X,Text,"The tech stack behind TrackKcal: React Native + Expo, Supabase, GPT-4o-mini for food analysis, TypeScript everything. Total monthly cost to run: ~$12. #buildinpublic #indiehacker"
PHASE 1: THE ORIGIN,Week 1,Feb 25,Twitter/X,Text,"Hot take: calorie tracking apps shouldn't need you to scroll through 47 search results to log 'eggs on toast.' You should just type it and be done. That's what TrackKcal does."
PHASE 1: THE ORIGIN,Week 1,Feb 26,Twitter/X,Text,"Day 5: Revenue: $0. Users: 0. Lines of code: 24,000+. Sleep last night: 4 hours. Would I do it again? Absolutely. #buildinpublic"
PHASE 1: THE ORIGIN,Week 1,Feb 27,Twitter/X,Poll,"What's the most annoying thing about calorie tracking? A) Too many taps to log food B) Can't find local foods C) Inaccurate portions D) Forgetting to log"
PHASE 1: THE ORIGIN,Week 1,Feb 28,Twitter/X,Text,"Here's something wild — the UAE fitness app market is worth $90.8M and growing at 14.1% per year. Yet there isn't a single nutrition app built specifically for Middle Eastern food. That's the gap I'm filling. #madeindubai"
PHASE 1: THE ORIGIN,Week 1,Feb 23,TikTok,Video,"'I built an app because calorie trackers can't understand my food' — Face to camera, show typing 'chicken shawarma with garlic sauce and pickles' into TrackKcal, show the instant calorie breakdown. 15-30 seconds."
PHASE 1: THE ORIGIN,Week 1,Feb 25,TikTok,Video,"'Day 1 of building in public' — Quick montage: your desk, code on screen, app running on phone, you explaining in 15 seconds what TrackKcal does."
PHASE 1: THE ORIGIN,Week 1,Feb 27,TikTok,Video,"'How many calories in karak tea?' — Film making karak tea (or buying one), type it into the app, reveal the calories. People are CURIOUS about this."
PHASE 1: THE ORIGIN,Week 1,Feb 23,Instagram,Reel,Same as TikTok #1 — cross-post the shawarma calorie reveal video
PHASE 1: THE ORIGIN,Week 1,Feb 25,Instagram,Carousel (5 slides),"'Why I'm building TrackKcal' — Slide 1: The problem. Slide 2: What I tried. Slide 3: What was missing. Slide 4: My solution. Slide 5: 'Follow the journey @trackkcal'"
PHASE 1: THE ORIGIN,Week 1,Feb 27,Instagram,Story series,"Behind the scenes — screenshot of your code editor, screenshot of the app, 'ask me anything' sticker"
PHASE 1: THE ORIGIN,Week 1,Feb 24,LinkedIn,Long post,"'I'm building a startup in public. No VC funding, no team, no MBA. Just a developer who got frustrated that no calorie tracking app understands Middle Eastern food. Here's what I'm learning about building a product from scratch in the UAE...' (200-300 words)"
PHASE 1: THE ORIGIN,Week 1,Feb 27,LinkedIn,Text + stat,"'Interesting stat: the UAE fitness app market is projected to reach $264.6M by 2033. But here's what most people miss — 3 in 4 UAE residents follow social media influencers, and nearly a third follow health/fitness creators. The distribution channel is already built. The product just needs to be right.'"
PHASE 1: THE ORIGIN,Week 1,Feb 26,Medium,Article,"'Why I'm Building an AI Calorie Tracker for the Middle East' — 800-1000 words. Cover: the problem (Western food databases don't work for local food), the solution (AI that understands any food description), the market opportunity, your journey so far. End with waitlist CTA."
PHASE 1: THE ORIGIN,Week 2,Mar 1,Twitter/X,Text,"Week 1 recap of building TrackKcal in public: 0 users, 0 revenue, but [X] waitlist signups and [X] followers. Posting every day is hard. But showing up is the whole game. #buildinpublic"
